Training number: 2
Start Time: 2019-08-09 18:16:56.850704
Learning rate: 1e-05
Time: D: 0H: 0M: 0S: 0, Episode: 1, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Test episode: Result= -21.0
Time: D: 0H: 0M: 0S: 2, Episode: 2, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 8, Episode: 3, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 11, Episode: 4, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 13, Episode: 5, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 15, Episode: 6, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 18, Episode: 7, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 21, Episode: 8, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 24, Episode: 9, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 27, Episode: 10, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 29, Episode: 11, Total reward:-17.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 33, Episode: 12, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 36, Episode: 13, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 38, Episode: 14, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 41, Episode: 15, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 44, Episode: 16, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 47, Episode: 17, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 49, Episode: 18, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 52, Episode: 19, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 55, Episode: 20, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 58, Episode: 21, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 0, Episode: 22, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 3, Episode: 23, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 6, Episode: 24, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 9, Episode: 25, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 13, Episode: 26, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 16, Episode: 27, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 18, Episode: 28, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 21, Episode: 29, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 24, Episode: 30, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 27, Episode: 31, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 30, Episode: 32, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 33, Episode: 33, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 35, Episode: 34, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 39, Episode: 35, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 42, Episode: 36, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 45, Episode: 37, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 48, Episode: 38, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 51, Episode: 39, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 54, Episode: 40, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 57, Episode: 41, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 1, Episode: 42, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 4, Episode: 43, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 6, Episode: 44, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 9, Episode: 45, Total reward:-16.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 14, Episode: 46, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 17, Episode: 47, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 20, Episode: 48, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 23, Episode: 49, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 25, Episode: 50, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 28, Episode: 51, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 31, Episode: 52, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 35, Episode: 53, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 38, Episode: 54, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 41, Episode: 55, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 43, Episode: 56, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 47, Episode: 57, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 51, Episode: 58, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 54, Episode: 59, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 57, Episode: 60, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 59, Episode: 61, Total reward:-21.0, Explore P: 1.0, loss: 1000000
