Training number: 0
Start Time: 2019-08-09 17:53:25.358536
Learning rate: 1e-05
Time: D: 0H: 0M: 0S: 0, Episode: 1, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Test episode: Result= -21.0
Time: D: 0H: 0M: 0S: 3, Episode: 2, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 6, Episode: 3, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 8, Episode: 4, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 11, Episode: 5, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 13, Episode: 6, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 16, Episode: 7, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 20, Episode: 8, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 23, Episode: 9, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 27, Episode: 10, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 30, Episode: 11, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 35, Episode: 12, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 39, Episode: 13, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 43, Episode: 14, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 46, Episode: 15, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 50, Episode: 16, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 53, Episode: 17, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 56, Episode: 18, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 0S: 59, Episode: 19, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 3, Episode: 20, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 6, Episode: 21, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 9, Episode: 22, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 13, Episode: 23, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 16, Episode: 24, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 20, Episode: 25, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 24, Episode: 26, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 26, Episode: 27, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 29, Episode: 28, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 33, Episode: 29, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 37, Episode: 30, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 40, Episode: 31, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 44, Episode: 32, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 48, Episode: 33, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 51, Episode: 34, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 55, Episode: 35, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 1S: 59, Episode: 36, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 2, Episode: 37, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 5, Episode: 38, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 8, Episode: 39, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 10, Episode: 40, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 13, Episode: 41, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 17, Episode: 42, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 20, Episode: 43, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 23, Episode: 44, Total reward:-20.0, Explore P: 1.0, loss: 1000000
