Training number: 1
Start Time: 2019-08-09 18:05:10.892908
Learning rate: 1e-05
Time: D: 0H: 0M: 2S: 40, Episode: 58, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 42, Episode: 59, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 45, Episode: 60, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 47, Episode: 61, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 51, Episode: 62, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 54, Episode: 63, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 57, Episode: 64, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 2S: 59, Episode: 65, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 2, Episode: 66, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 5, Episode: 67, Total reward:-18.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 9, Episode: 68, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 11, Episode: 69, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 14, Episode: 70, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 17, Episode: 71, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 20, Episode: 72, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 22, Episode: 73, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 25, Episode: 74, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 28, Episode: 75, Total reward:-17.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 32, Episode: 76, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 35, Episode: 77, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 38, Episode: 78, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 41, Episode: 79, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 44, Episode: 80, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 47, Episode: 81, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 49, Episode: 82, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 53, Episode: 83, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 55, Episode: 84, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 3S: 59, Episode: 85, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 1, Episode: 86, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 4, Episode: 87, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 7, Episode: 88, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 10, Episode: 89, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 12, Episode: 90, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 15, Episode: 91, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 18, Episode: 92, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 21, Episode: 93, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 24, Episode: 94, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 27, Episode: 95, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 29, Episode: 96, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 31, Episode: 97, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 34, Episode: 98, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 36, Episode: 99, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 39, Episode: 100, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 42, Episode: 101, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Test episode: Result= -20.0
Time: D: 0H: 0M: 4S: 45, Episode: 102, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 48, Episode: 103, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 50, Episode: 104, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 53, Episode: 105, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 56, Episode: 106, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 4S: 58, Episode: 107, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 1, Episode: 108, Total reward:-20.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 4, Episode: 109, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 6, Episode: 110, Total reward:-19.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 9, Episode: 111, Total reward:-21.0, Explore P: 1.0, loss: 1000000
Time: D: 0H: 0M: 5S: 12, Episode: 112, Total reward:-19.0, Explore P: 1.0, loss: 1000000
